iter	Passed	Remaining
0	69	6886
1	136	6712
2	222	7201
3	288	6934
4	355	6759
5	434	6800
6	498	6619
7	567	6529
8	644	6520
9	714	6430
10	782	6333
11	860	6313
12	931	6234
13	1027	6309
14	1102	6249
15	1180	6196
16	1271	6208
17	1347	6139
18	1430	6100
19	1528	6114
20	1571	5913
21	1663	5896
22	1674	5605
23	1779	5634
24	1877	5631
25	1973	5616
26	2079	5623
27	2180	5608
28	2290	5607
29	2382	5560
30	2490	5543
31	2585	5494
32	2697	5475
33	2805	5445
34	2931	5444
35	3048	5419
36	3197	5443
37	3345	5459
38	3447	5392
39	3553	5329
40	3663	5272
41	3765	5200
42	3881	5144
43	3985	5072
44	4110	5023
45	4218	4951
46	4323	4875
47	4412	4780
48	4520	4705
49	4625	4625
50	4773	4585
51	4913	4535
52	4918	4361
53	5004	4263
54	5092	4166
55	5189	4077
56	5272	3977
57	5363	3883
58	5457	3792
59	5542	3695
60	5620	3593
61	5702	3495
62	5788	3399
63	5875	3305
64	5974	3217
65	6058	3120
66	6144	3026
67	6260	2945
68	6301	2831
69	6390	2738
70	6478	2645
71	6572	2556
72	6656	2462
73	6751	2372
74	6834	2278
75	6943	2192
76	7047	2105
77	7189	2027
78	7289	1937
79	7375	1843
80	7480	1754
81	7570	1661
82	7684	1574
83	7822	1490
84	7923	1398
85	8019	1305
86	8120	1213
87	8219	1120
88	8328	1029
89	8420	935
90	8535	844
91	8623	749
92	8726	656
93	8823	563
94	8928	469
95	9028	376
96	9130	282
97	9224	188
98	9325	94
99	9430	0
